,Date,Time,Season,Type,Opponent,Rank,Ranked Match,Conf,Rest Days,SRS,Result,Points For,Points Against,W,L,Home Game,Win Streak,Lose Streak,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF,FG_rolling_5,FGA_rolling_5,FG%_rolling_5,3P_rolling_5,3PA_rolling_5,3P%_rolling_5,FT_rolling_5,FTA_rolling_5,FT%_rolling_5,ORB_rolling_5,TRB_rolling_5,AST_rolling_5,STL_rolling_5,BLK_rolling_5,TOV_rolling_5,PF_rolling_5,OPP FG_rolling_5,OPP FGA_rolling_5,OPP FG%_rolling_5,OPP 3P_rolling_5,OPP 3PA_rolling_5,OPP 3P%_rolling_5,OPP FT_rolling_5,OPP FTA_rolling_5,OPP FT%_rolling_5,OPP ORB_rolling_5,OPP TRB_rolling_5,OPP AST_rolling_5,OPP STL_rolling_5,OPP BLK_rolling_5,OPP TOV_rolling_5,OPP PF_rolling_5
10,2019-12-14,6:00p,2019-2020,REG,Old Dominion,,False,CUSA,3,0.02,W,69,55,8,3,True,2,0,22,47,0.468,7,20,0.35,18,20,0.9,4,28,15,7,2,15,12,21,57,0.368,6,18,0.333,7,8,0.875,8,27,12,7,0,18,23,27.8,56.0,0.4934,5.6,17.4,0.28959999999999997,17.6,23.2,0.7567999999999999,8.2,34.0,14.4,6.8,3.4,13.4,78.8,25.2,60.0,0.42400000000000004,7.6,23.0,0.3362,6.4,8.6,0.7727999999999999,7.2,26.4,11.0,7.2,2.2,14.2,21.8
11,2019-12-21,1:00p,2019-2020,REG,Missouri,,False,SEC,7,8.51,L,56,63,8,4,False,0,1,18,50,0.36,2,14,0.143,18,23,0.783,9,26,4,7,5,17,20,23,54,0.426,5,14,0.357,12,16,0.75,12,31,9,10,3,17,21,23.6,53.4,0.44160000000000005,3.8,15.2,0.23019999999999996,15.6,20.4,0.762,8.0,31.4,10.2,5.6,3.6,14.0,66.6,24.8,58.0,0.43099999999999994,6.4,19.8,0.33419999999999994,8.0,10.8,0.7628,8.2,28.2,10.8,7.2,2.8,12.8,20.0
12,2019-12-29,2:00p,2019-2020,REG,North Carolina A&T,,False,MEAC,8,-9.66,W,95,64,9,4,True,1,0,36,68,0.529,11,26,0.423,12,19,0.632,12,36,22,7,5,8,17,24,52,0.462,7,16,0.438,9,14,0.643,5,25,11,5,7,18,20,25.2,56.4,0.4418,4.8,17.0,0.24419999999999997,14.6,19.6,0.7406,8.8,32.6,11.4,6.2,3.8,13.0,69.8,23.2,57.6,0.4048,5.8,19.4,0.3106,8.4,11.0,0.7838,8.4,29.0,11.2,6.8,3.8,14.4,19.8
13,2020-01-02,8:00p,2019-2020,REG,Michigan State,14.0,True,Big Ten,4,21.92,L,56,76,9,5,False,0,1,22,75,0.293,3,28,0.107,9,15,0.6,13,38,14,2,3,8,17,26,60,0.433,7,22,0.318,17,24,0.708,10,46,20,2,9,10,19,25.2,60.2,0.4218,4.8,19.8,0.22279999999999997,14.2,19.4,0.723,9.8,33.0,12.2,5.6,4.2,12.0,69.4,24.2,57.0,0.4248,5.6,17.6,0.3226,10.0,13.6,0.7618,8.0,30.6,12.8,6.0,4.8,14.2,20.2
14,2020-01-05,8:00p,2019-2020,REG,Purdue,,False,Big Ten,3,16.3,W,63,37,10,5,True,1,0,26,57,0.456,7,19,0.368,4,8,0.5,9,41,14,5,4,13,16,15,60,0.25,3,17,0.176,4,10,0.4,8,28,6,3,2,11,10,24.8,59.4,0.42119999999999996,6.0,21.4,0.2782,12.2,17.0,0.683,9.4,33.8,13.8,5.6,3.8,12.2,67.8,21.8,56.6,0.38780000000000003,5.6,17.4,0.3244,9.8,14.4,0.6752,8.6,31.4,11.6,5.4,4.2,14.8,18.6
15,2020-01-08,9:00p,2019-2020,REG,Wisconsin,,False,Big Ten,3,15.95,W,71,70,11,5,False,2,0,28,57,0.491,7,16,0.438,8,15,0.533,6,26,11,1,2,7,22,23,53,0.434,4,15,0.267,20,23,0.87,9,31,5,3,6,7,16,26.0,61.4,0.4258,6.0,20.6,0.29579999999999995,10.2,16.0,0.6096,9.8,33.4,13.0,4.4,3.8,10.6,68.2,22.2,55.8,0.40099999999999997,5.2,16.8,0.31120000000000003,12.4,17.4,0.6742000000000001,8.8,32.2,10.2,4.6,5.4,12.6,17.2
16,2020-01-11,12:00p,2019-2020,REG,Rutgers,,False,Big Ten,3,15.72,W,54,51,12,5,True,3,0,18,63,0.286,2,14,0.143,16,19,0.842,13,44,7,2,4,7,12,20,59,0.339,8,23,0.348,3,8,0.375,10,40,8,5,3,11,17,26.0,64.0,0.41100000000000003,6.0,20.6,0.2958,9.8,15.2,0.6214,10.6,37.0,13.6,3.4,3.6,8.6,67.8,21.6,56.8,0.3836,5.8,18.6,0.3094,10.6,15.8,0.5992000000000001,8.4,34.0,10.0,3.6,5.4,11.4,16.4
17,2020-01-18,5:00p,2019-2020,REG,Northwestern,,False,Big Ten,7,5.35,W,75,71,13,5,True,4,0,27,54,0.5,9,24,0.375,12,15,0.8,8,29,17,2,5,7,11,27,60,0.45,8,19,0.421,9,12,0.75,8,25,11,3,1,5,17,24.2,61.2,0.40519999999999995,5.6,20.2,0.2862,9.8,14.4,0.655,9.8,35.6,12.6,2.4,3.6,8.4,63.8,22.2,58.4,0.38120000000000004,6.0,19.2,0.30599999999999994,10.6,15.4,0.6205999999999999,9.0,34.0,10.0,3.2,4.2,8.8,15.8
18,2020-01-21,7:00p,2019-2020,REG,Purdue,,False,Big Ten,3,16.3,W,79,62,14,5,False,5,0,27,49,0.551,7,16,0.438,18,19,0.947,9,34,18,1,3,13,17,23,56,0.411,3,8,0.375,13,21,0.619,10,18,8,6,3,5,18,25.2,56.0,0.4568,6.4,17.8,0.3524,11.6,15.2,0.7243999999999999,9.0,34.8,13.4,2.2,3.6,9.4,68.4,21.6,57.6,0.37679999999999997,5.2,16.4,0.31739999999999996,9.8,14.8,0.6028,9.0,28.4,7.6,4.0,3.0,7.8,15.6
19,2020-01-25,12:00p,2019-2020,REG,Michigan,,False,Big Ten,4,17.94,W,64,62,15,5,False,6,0,24,54,0.444,4,11,0.364,12,16,0.75,4,29,6,1,0,8,19,23,59,0.39,4,17,0.235,12,21,0.571,10,36,5,3,3,2,14,24.8,55.4,0.4544,5.8,16.2,0.3516,13.2,16.8,0.7744,8.0,32.4,11.8,1.4,2.8,8.4,68.6,23.2,57.4,0.4048,5.4,16.4,0.3292,11.4,17.0,0.6369999999999999,9.4,30.0,7.4,4.0,3.2,6.0,16.4
20,2020-01-30,7:30p,2019-2020,REG,Minnesota,,False,Big Ten,5,16.39,W,59,51,16,5,True,7,0,21,63,0.333,3,15,0.2,14,16,0.875,11,41,10,4,5,8,17,19,60,0.317,3,19,0.158,10,12,0.833,5,32,4,3,6,11,16,23.4,56.6,0.42279999999999995,5.0,16.0,0.304,14.4,17.0,0.8427999999999999,9.0,35.4,11.6,2.0,3.4,8.6,66.2,22.4,58.8,0.3814,5.2,17.2,0.3074,9.4,14.8,0.6295999999999999,8.6,30.2,7.2,4.0,3.2,6.8,16.4
21,2020-02-02,1:00p,2019-2020,REG,Iowa,18.0,True,Big Ten,3,16.07,L,65,72,16,6,False,0,1,24,58,0.414,8,22,0.364,9,11,0.818,13,32,12,6,0,13,19,25,50,0.5,10,23,0.435,12,17,0.706,8,30,19,7,3,13,15,24.6,55.6,0.4484,6.2,17.6,0.34819999999999995,13.0,15.4,0.8380000000000001,9.0,33.0,12.6,2.8,2.6,9.8,68.4,23.4,57.0,0.4136,5.6,17.2,0.3248,11.2,16.6,0.6958,8.2,28.2,9.4,4.4,3.2,7.2,16.0
22,2020-02-07,8:00p,2019-2020,REG,Maryland,9.0,True,Big Ten,5,17.82,L,66,75,16,7,True,0,2,22,61,0.361,8,22,0.364,14,24,0.583,14,39,11,4,1,11,17,26,56,0.464,10,26,0.385,13,15,0.867,4,29,16,6,2,10,16,23.6,57.0,0.4206,6.0,17.2,0.346,13.4,17.2,0.7946,10.2,35.0,11.4,3.2,1.8,10.6,66.6,23.2,56.2,0.4164,6.0,18.6,0.3176,12.0,17.2,0.7192000000000001,7.4,29.0,10.4,5.0,3.4,8.2,15.8
23,2020-02-11,9:00p,2019-2020,REG,Michigan State,,False,Big Ten,4,21.92,L,69,70,16,8,True,0,3,22,60,0.367,5,18,0.278,20,25,0.8,13,36,9,10,1,13,16,28,57,0.491,7,18,0.389,7,14,0.5,5,29,10,7,3,16,24,22.6,59.2,0.38380000000000003,5.6,17.6,0.31399999999999995,13.8,18.4,0.7651999999999999,11.0,35.4,9.6,5.0,1.4,10.6,64.6,24.2,56.4,0.4324,6.8,20.6,0.3204,10.8,15.8,0.6954,6.4,31.2,10.8,5.2,3.4,10.4,17.0
24,2020-02-15,4:30p,2019-2020,REG,Rutgers,,False,Big Ten,4,15.72,L,57,72,16,9,False,0,4,19,61,0.311,8,28,0.286,11,15,0.733,16,36,10,5,3,9,15,27,55,0.491,7,15,0.467,11,12,0.917,8,36,15,5,9,9,16,21.6,60.6,0.3572,6.4,21.0,0.2984,13.6,18.2,0.7617999999999999,13.4,36.8,10.4,5.8,2.0,10.8,63.2,25.0,55.6,0.4526,7.4,20.2,0.3668,10.6,14.0,0.7646,6.0,31.2,12.8,5.6,4.6,11.8,17.4
25,2020-02-18,6:30p,2019-2020,REG,Penn State,9.0,True,Big Ten,3,16.12,W,62,56,17,9,False,1,0,24,54,0.444,3,10,0.3,11,18,0.611,9,37,8,5,3,9,16,21,58,0.362,4,19,0.211,10,13,0.769,9,32,13,5,4,7,16,22.2,58.8,0.37939999999999996,6.4,20.0,0.31839999999999996,13.0,18.6,0.709,13.0,36.0,10.0,6.0,1.6,11.0,63.8,25.4,55.2,0.46159999999999995,7.6,20.2,0.3774,10.6,14.2,0.7518,6.8,31.2,14.6,6.0,4.2,11.0,17.4
26,2020-02-24,8:00p,2019-2020,REG,Nebraska,,False,Big Ten,6,2.41,W,71,59,18,9,True,2,0,28,71,0.394,5,19,0.263,10,17,0.588,14,42,13,6,2,10,10,24,57,0.421,5,15,0.333,6,9,0.667,5,34,8,7,2,13,14,23.0,61.4,0.3754,5.8,19.4,0.2982,13.2,19.8,0.663,13.2,38.0,10.2,6.0,2.0,10.4,65.0,25.2,56.6,0.44580000000000003,6.6,18.6,0.35700000000000004,9.4,12.6,0.744,6.2,32.0,12.4,6.0,4.0,11.0,17.2
27,2020-02-27,8:00p,2019-2020,REG,Northwestern,,False,Big Ten,3,5.35,W,74,66,19,9,False,3,0,27,58,0.466,8,23,0.348,12,15,0.8,13,41,19,1,2,7,15,25,61,0.41,5,20,0.25,11,16,0.688,7,26,11,3,3,5,16,24.0,60.8,0.3964,5.8,19.6,0.29500000000000004,12.8,18.0,0.7064,13.0,38.4,11.8,5.4,2.2,9.6,66.6,25.0,57.6,0.43499999999999994,5.6,17.4,0.32999999999999996,9.0,12.8,0.7081999999999999,6.8,31.4,11.4,5.4,4.2,10.0,17.2
28,2020-03-01,2:00p,2019-2020,REG,Indiana,,False,Big Ten,3,15.07,W,67,66,20,9,True,4,0,23,52,0.442,4,12,0.333,17,24,0.708,6,28,9,5,6,7,16,24,59,0.407,8,16,0.5,10,12,0.833,10,34,12,4,5,10,19,24.2,59.2,0.4114,5.6,18.4,0.306,12.2,17.8,0.688,11.6,36.8,11.8,4.4,3.2,8.4,66.2,24.2,58.0,0.41819999999999996,5.8,17.0,0.3522,9.6,12.4,0.7748,7.8,32.4,11.8,4.8,4.6,8.8,16.2
29,2020-03-05,7:00p,2019-2020,REG,Ohio State,19.0,True,Big Ten,4,19.37,L,63,71,20,10,False,0,1,24,55,0.436,6,22,0.273,9,10,0.9,7,28,10,6,4,12,22,22,57,0.386,3,15,0.2,24,28,0.857,14,35,11,9,2,11,13,25.2,58.0,0.4364,5.2,17.2,0.3034,11.8,16.8,0.7214,9.8,35.2,11.8,4.6,3.4,9.0,67.4,23.2,58.4,0.3972,5.0,17.0,0.2988,12.2,15.6,0.7627999999999999,9.0,32.2,11.0,5.6,3.2,9.2,15.6
30,2020-03-08,7:00p,2019-2020,REG,Iowa,18.0,True,Big Ten,3,16.07,W,78,76,21,10,True,1,0,30,61,0.492,7,24,0.292,11,17,0.647,11,27,20,6,2,5,19,26,52,0.5,9,19,0.474,15,15,1.0,5,30,18,0,2,11,18,26.4,59.4,0.446,6.0,20.0,0.30179999999999996,11.8,16.6,0.7286,10.2,33.2,14.2,4.8,3.2,8.2,70.6,24.2,57.2,0.42479999999999996,6.0,17.0,0.35140000000000005,13.2,16.0,0.8089999999999999,8.2,31.8,12.0,4.6,2.8,10.0,16.0
31,2020-11-25,2:00p,2020-2021,REG,North Carolina A&T,,False,MEAC,0,-14.27,W,122,60,1,0,True,1,0,44,75,0.587,17,31,0.548,17,24,0.708,18,58,31,5,4,15,18,22,64,0.344,5,19,0.263,11,21,0.524,4,16,10,9,0,12,21,44.0,75.0,0.587,17.0,31.0,0.548,17.0,24.0,0.708,18.0,58.0,31.0,5.0,4.0,15.0,122.0,22.0,64.0,0.344,5.0,19.0,0.263,11.0,21.0,0.524,4.0,16.0,10.0,9.0,0.0,12.0,21.0
32,2020-11-26,12:00p,2020-2021,REG,Chicago State,,False,WAC,1,-31.82,W,97,38,2,0,True,2,0,36,60,0.6,7,18,0.389,18,24,0.75,15,52,16,6,3,18,14,15,54,0.278,4,24,0.167,4,10,0.4,1,8,6,9,1,15,22,40.0,67.5,0.5934999999999999,12.0,24.5,0.4685,17.5,24.0,0.729,16.5,55.0,23.5,5.5,3.5,16.5,109.5,18.5,59.0,0.311,4.5,21.5,0.21500000000000002,7.5,15.5,0.462,2.5,12.0,8.0,9.0,0.5,13.5,21.5
33,2020-11-27,1:00p,2020-2021,REG,Ohio,,False,MAC,1,5.48,W,77,75,3,0,True,3,0,28,58,0.483,6,15,0.4,15,24,0.625,10,42,14,3,1,15,14,31,65,0.477,9,19,0.474,4,9,0.444,3,22,16,10,3,6,18,36.0,64.33333333333333,0.5566666666666666,10.0,21.333333333333332,0.4456666666666667,16.666666666666668,24.0,0.6943333333333334,14.333333333333334,50.666666666666664,20.333333333333332,4.666666666666667,2.6666666666666665,16.0,98.66666666666667,22.666666666666668,61.0,0.36633333333333334,6.0,20.666666666666668,0.30133333333333334,6.333333333333333,13.333333333333334,0.456,2.6666666666666665,15.333333333333334,10.666666666666666,9.333333333333334,1.3333333333333333,11.0,20.333333333333332
34,2020-12-02,10:00p,2020-2021,REG,Baylor,2.0,True,Big 12,5,24.83,L,69,82,3,1,False,0,1,26,59,0.441,7,18,0.389,10,16,0.625,9,33,16,3,4,12,20,30,66,0.455,7,18,0.389,15,24,0.625,16,37,14,7,4,7,16,33.5,63.0,0.5277499999999999,9.25,20.5,0.4315,15.0,22.0,0.677,13.0,46.25,19.25,4.25,3.0,15.0,91.25,24.5,62.25,0.3885,6.25,20.0,0.32325000000000004,8.5,16.0,0.49825,6.0,20.75,11.5,8.75,2.0,10.0,19.25
35,2020-12-08,9:30p,2020-2021,REG,Duke,10.0,True,ACC,6,13.04,W,83,68,4,1,False,1,0,29,50,0.58,7,11,0.636,18,24,0.75,3,35,13,7,5,18,20,27,67,0.403,5,22,0.227,9,16,0.563,10,31,14,8,5,12,19,32.6,60.4,0.5382,8.8,18.6,0.47240000000000004,15.6,22.4,0.6916,11.0,44.0,18.0,4.8,3.4,15.6,89.6,25.0,63.2,0.3914,6.0,20.4,0.304,8.6,16.0,0.5112,6.8,22.8,12.0,8.6,2.6,10.4,19.2
36,2020-12-12,8:00p,2020-2021,REG,Missouri,,False,SEC,4,12.37,L,78,81,4,2,False,0,1,29,55,0.527,3,13,0.231,17,28,0.607,2,20,10,9,2,13,25,25,53,0.472,5,21,0.238,26,31,0.839,7,31,9,4,2,18,27,29.6,56.4,0.5262,6.0,15.0,0.409,15.6,23.2,0.6714,7.8,36.4,13.8,5.6,3.0,15.2,80.8,25.6,61.0,0.417,6.0,20.8,0.29900000000000004,11.6,18.0,0.5742,7.4,25.8,11.8,7.6,3.0,11.6,20.4
37,2020-12-15,7:00p,2020-2021,REG,Minnesota,,False,Big Ten,3,11.04,W,92,65,5,2,True,1,0,34,64,0.531,7,19,0.368,17,25,0.68,7,49,21,2,2,13,27,19,69,0.275,7,28,0.25,20,32,0.625,10,32,10,7,6,8,19,29.2,57.2,0.5124000000000001,6.0,15.2,0.4048,15.4,23.4,0.6574000000000001,6.2,35.8,14.8,4.8,2.8,14.2,79.8,26.4,64.0,0.4164,6.6,21.6,0.3156,14.8,22.4,0.6192,9.2,30.6,12.6,7.2,4.0,10.2,19.8
38,2020-12-20,1:00p,2020-2021,REG,Rutgers,19.0,True,Big Ten,5,14.14,L,88,91,5,3,False,0,1,34,63,0.54,9,15,0.6,11,15,0.733,8,32,20,4,0,13,26,29,62,0.468,8,20,0.4,25,36,0.694,13,33,12,8,8,9,17,30.4,58.2,0.5237999999999999,6.6,15.2,0.44480000000000003,14.6,21.6,0.6789999999999999,5.8,33.8,16.0,5.0,2.6,13.8,82.0,26.0,63.4,0.41459999999999997,6.4,21.8,0.3008,19.0,27.8,0.6692,11.2,32.8,11.8,6.8,5.0,10.8,19.6
39,2020-12-23,6:30p,2020-2021,REG,Penn State,,False,Big Ten,3,13.53,W,98,81,6,3,False,1,0,35,63,0.556,5,16,0.313,23,28,0.821,12,33,20,5,2,10,15,35,65,0.538,7,23,0.304,4,7,0.571,8,25,15,6,5,12,23,32.2,59.0,0.5468,6.2,14.8,0.4295999999999999,17.2,24.0,0.7182,6.4,33.8,16.8,5.4,2.2,13.4,87.8,27.0,63.2,0.4312,6.4,22.8,0.28379999999999994,16.8,24.4,0.6584,9.6,30.4,12.0,6.6,5.2,11.8,21.0
40,2020-12-26,4:00p,2020-2021,REG,Indiana,,False,Big Ten,3,12.79,W,69,60,7,3,True,2,0,24,54,0.444,7,20,0.35,14,18,0.778,7,38,15,5,2,11,9,23,58,0.397,7,18,0.389,7,9,0.778,2,26,9,6,4,7,15,31.2,59.8,0.5196000000000001,6.2,16.6,0.37239999999999995,16.4,22.8,0.7238,7.2,34.4,17.2,5.0,1.6,12.0,85.0,26.2,61.4,0.43,6.8,22.0,0.3162,16.4,23.0,0.7013999999999999,8.0,29.4,11.0,6.2,5.0,10.8,20.2
41,2021-01-02,6:00p,2020-2021,REG,Purdue,,False,Big Ten,7,15.55,W,66,58,8,3,True,3,0,25,52,0.481,7,20,0.35,9,22,0.409,5,36,17,6,6,11,15,22,56,0.393,7,16,0.438,7,12,0.583,5,32,11,3,4,14,20,30.4,59.2,0.5104,7.0,18.0,0.3962,14.8,21.6,0.6841999999999999,7.8,37.6,18.6,4.4,2.4,11.6,82.6,25.6,62.0,0.4142,7.2,21.0,0.3562,12.6,19.2,0.6502,7.6,29.6,11.4,6.0,5.4,10.0,18.8
42,2021-01-07,9:00p,2020-2021,REG,Northwestern,,False,Big Ten,5,9.71,W,81,56,9,3,False,4,0,27,55,0.491,11,27,0.407,16,21,0.762,9,38,19,4,4,15,17,18,55,0.327,6,20,0.3,14,18,0.778,6,25,13,10,0,13,16,29.0,57.4,0.5024,7.8,19.6,0.404,14.6,20.8,0.7006,8.2,35.4,18.2,4.8,2.8,12.0,80.4,25.4,59.2,0.42460000000000003,7.0,19.4,0.36619999999999997,11.4,16.4,0.6808,6.8,28.2,12.0,6.6,4.2,11.0,18.2
43,2021-01-10,8:00p,2020-2021,REG,Maryland,,False,Big Ten,3,13.94,L,63,66,9,4,True,0,1,25,61,0.41,5,15,0.333,8,12,0.667,8,34,15,7,2,8,13,22,55,0.4,8,20,0.4,14,17,0.824,7,29,8,2,7,10,13,27.2,57.0,0.47640000000000005,7.0,19.6,0.35059999999999997,14.0,20.2,0.6874,8.2,35.8,17.2,5.4,3.2,11.0,75.4,24.0,57.8,0.41100000000000003,7.0,19.4,0.3662,9.2,12.6,0.7068,5.6,27.4,11.2,5.4,4.0,11.2,17.4
44,2021-01-16,12:00p,2020-2021,REG,Ohio State,21.0,True,Big Ten,6,18.25,L,81,87,9,5,True,0,2,29,60,0.483,9,26,0.346,14,20,0.7,10,28,15,6,1,10,20,29,54,0.537,11,21,0.524,18,23,0.783,6,27,12,6,1,11,20,26.0,56.4,0.46180000000000004,7.8,21.6,0.35719999999999996,12.2,18.6,0.6632,7.8,34.8,16.2,5.6,3.0,11.0,72.0,22.8,55.6,0.41080000000000005,7.8,19.0,0.4102,12.0,15.8,0.7492000000000001,5.2,27.8,10.6,5.4,3.2,11.0,16.8
